,title,state
0,美示威愈演愈烈，福奇：我已经两周没有见过特朗普了,事实
1,一文读懂全球疫情：全球累计确诊逾624万 美专家忧骚乱与疫情有“叠加效应”,事实
2,世卫组织：大型集会可能导致超级传播事件,事实
3,巴西单日新增确诊病例11598例 累计超52万例,事实
4,谭德塞：世卫组织希望与美国能继续合作,事实
5,美国单日新增确诊病例逾1.8万例 累计确诊逾180万例,事实
6,最新！俄罗斯单日新增新冠肺炎确诊病例9035例，累计414878例,事实
7,印度新增8392例新冠肺炎确诊病例 累计逾19万例,事实
8,韩国仁川再现教会聚集感染：新增18例确诊病例，分布多个区,事实
9,退出世卫 害人害己,事实
10,巴西单日新增确诊病例16409例 累计超51万例,事实
11,一文读懂全球疫情：全球累计确诊逾613万 美国明尼苏达州病例已开始上升,事实
12,俄罗斯新冠肺炎确诊病例超过40万例,事实
13,俄有望8月、9月为医护人员注射新冠疫苗,事实
14,巴西新增33274例新冠肺炎确诊病例 系单日最大增幅,事实
15,一文读懂全球疫情：全球累计确诊逾601万 美国个人支出环比创60年最大降幅,事实
16,比利时王子赴西班牙参加私人聚会后，新冠病毒检测结果呈阳性,事实
17,印度全国封锁措施延长至6月30日,事实
18,两名派驻马里的联合国维和人员感染新冠病毒死亡,事实
19,疫情下的美国：华盛顿“解封”首日 民众在不同情感中开始“新生活”,事实
20,特朗普宣布美国将终止与世卫组织的关系,事实
21,外媒：印度猴群抢走新冠患者血液样本，附近居民担忧病毒传播,事实
22,美国新冠肺炎确诊超过174万，死亡约10.2万,事实
23,5月29日全球疫情观察：至少10国日增确诊超千例 50个国家确诊病例超1万例,事实
24,俄罗斯新增确诊病例8572例 累计确诊387623例,事实
25,快讯！美国约翰斯·霍普金斯大学：全球50国新冠肺炎确诊病例过万例,事实
26,巴西新增逾2.6万例新冠肺炎确诊病例 系单日最大增幅,事实
27,一文读懂全球疫情：全球累计确诊逾576万 美国申请失业救济人数超4000万,事实
28,世卫组织：全球新冠肺炎确诊病例超过555万例,事实
29,菲律宾新增539例新冠确诊病例 创单日最大增幅,事实
30,俄罗斯新增8371例新冠肺炎确诊病例 累计近38万例,事实
31,印度新增6566例新冠肺炎确诊病例 累计逾15.8万例,事实
32,美国新冠肺炎死亡病例超10万，华盛顿宣布解封计划,事实
33,巴西新增逾2万例新冠肺炎病例 成全球第2个确诊数超40万国家,事实
34,一文读懂全球疫情：全球累计确诊逾565万 美国累计死亡病例超10万,事实
35,5月27日全球疫情观察：至少11国日增确诊超千例 秘鲁、墨西哥均现最大增幅,事实
36,美国累计新冠肺炎确诊病例超过168万,事实
37,伊朗新增2080例新冠肺炎确诊病例 累计确诊141591例,事实
38,德国新增确诊病例362例，累计确诊179364例,事实
